nx,ny,PCP,POP,PTY,REH,SKY,TMP,WSD
50,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,4.3
50,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,7.3
50,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.8
50,123,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.5
50,124,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.1
50,125,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,126,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,127,-99.0,-99.0,0.0,-99.0,4.0,-99.0,5.9
50,128,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.0
50,129,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.1
50,130,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.2
50,131,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.4
50,132,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.5
50,133,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.6
50,134,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.7
50,135,-99.0,-99.0,0.0,-99.0,4.0,-99.0,6.9
51,119,0.0,30.0,0.0,85.0,4.0,3.0,2.1
51,120,0.0,30.0,0.0,85.0,4.0,3.0,2.0
51,121,0.0,30.0,0.0,85.0,4.0,3.0,1.7
51,122,0.0,30.0,0.0,85.0,4.0,3.0,1.5
51,123,0.0,30.0,0.0,90.0,4.0,3.0,1.4
51,124,0.0,30.0,0.0,90.0,4.0,2.0,1.5
51,125,0.0,30.0,0.0,90.0,4.0,1.0,1.5
51,126,0.0,30.0,0.0,95.0,4.0,1.0,1.4
51,127,0.0,30.0,0.0,95.0,4.0,2.0,1.3
51,128,0.0,30.0,0.0,95.0,4.0,2.0,1.3
51,129,0.0,30.0,0.0,100.0,4.0,1.0,1.4
51,130,0.0,30.0,0.0,100.0,4.0,1.0,1.4
51,131,0.0,30.0,0.0,95.0,4.0,1.0,1.5
51,132,0.0,30.0,0.0,95.0,4.0,-2.0,1.5
51,133,0.0,30.0,0.0,95.0,4.0,0.0,1.5
51,134,0.0,30.0,0.0,95.0,4.0,2.0,1.6
51,135,0.0,30.0,0.0,95.0,4.0,2.0,1.7
52,119,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.9
52,120,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.7
52,121,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.5
52,122,-99.0,-99.0,0.0,-99.0,4.0,-99.0,12.2
